fixture,p_panel,classical_pools_shared_across_p,prefix,analytical_p_at_least_one_opt_uniform,p_opt_uniform_single_draw,uniform_opt_hit,uniform_contains_opt,k3_opt_hit,hardware_opt_hit,hardware_n_blocks,exact_enumeration_opt_hit,greedy_selected_utility,exact_optimum,sample_origin,analysis_type
D3,1,True,256,0.9822537203789488,0.015625,"{""mean"": 0.0159912109375, ""n"": 32, ""stdev"": 0.007200079151884095}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.054443359375, ""n"": 32, ""stdev"": 0.015000251132134408}","{""mean"": 0.032552083333333336, ""n"": 6, ""stdev"": 0.00736569563735987}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,2,True,256,0.9822537203789488,0.015625,"{""mean"": 0.0159912109375, ""n"": 32, ""stdev"": 0.007200079151884095}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.054443359375, ""n"": 32, ""stdev"": 0.015000251132134408}","{""mean"": 0.011067708333333334, ""n"": 6, ""stdev"": 0.006141914799516018}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,1,True,1024,0.9999999008188177,0.015625,"{""mean"": 0.015167236328125, ""n"": 32, ""stdev"": 0.0037504352873256688}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0491943359375, ""n"": 32, ""stdev"": 0.00673381270253921}","{""mean"": 0.033203125, ""n"": 6, ""stdev"": 0.007154056307238252}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D3,2,True,1024,0.9999999008188177,0.015625,"{""mean"": 0.015167236328125, ""n"": 32, ""stdev"": 0.0037504352873256688}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0491943359375, ""n"": 32, ""stdev"": 0.00673381270253921}","{""mean"": 0.014811197916666666, ""n"": 6, ""stdev"": 0.003355391947931039}",6,0.015625,21.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D4,1,True,1,0.015625,0.015625,"{""mean"": 0.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,2,True,1,0.015625,0.015625,"{""mean"": 0.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,1,True,4,0.061050355434417725,0.015625,"{""mean"": 0.015625, ""n"": 32, ""stdev"": 0.06051536478449089}","{""mean"": 0.0625, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.10364452469860624}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,2,True,4,0.061050355434417725,0.015625,"{""mean"": 0.015625, ""n"": 32, ""stdev"": 0.06051536478449089}","{""mean"": 0.0625, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.10364452469860624}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,1,True,16,0.22273482905658715,0.015625,"{""mean"": 0.015625, ""n"": 32, ""stdev"": 0.03125}","{""mean"": 0.21875, ""n"": 32, ""stdev"": 0.41339864235384227}","{""mean"": 0.056640625, ""n"": 32, ""stdev"": 0.054931098087598565}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,2,True,16,0.22273482905658715,0.015625,"{""mean"": 0.015625, ""n"": 32, ""stdev"": 0.03125}","{""mean"": 0.21875, ""n"": 32, ""stdev"": 0.41339864235384227}","{""mean"": 0.056640625, ""n"": 32, ""stdev"": 0.054931098087598565}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,1,True,64,0.6350134757560926,0.015625,"{""mean"": 0.015625, ""n"": 32, ""stdev"": 0.015128841196122723}","{""mean"": 0.625, ""n"": 32, ""stdev"": 0.4841229182759271}","{""mean"": 0.05517578125, ""n"": 32, ""stdev"": 0.02531068395057507}","{""mean"": 0.020833333333333332, ""n"": 6, ""stdev"": 0.01473139127471974}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,2,True,64,0.6350134757560926,0.015625,"{""mean"": 0.015625, ""n"": 32, ""stdev"": 0.015128841196122723}","{""mean"": 0.625, ""n"": 32, ""stdev"": 0.4841229182759271}","{""mean"": 0.05517578125, ""n"": 32, ""stdev"": 0.02531068395057507}","{""mean"": 0.005208333333333333, ""n"": 6, ""stdev"": 0.00736569563735987}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,1,True,256,0.9822537203789488,0.015625,"{""mean"": 0.0147705078125, ""n"": 32, ""stdev"": 0.0069558658983927615}","{""mean"": 0.96875, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0501708984375, ""n"": 32, ""stdev"": 0.014781600947982197}","{""mean"": 0.024088541666666668, ""n"": 6, ""stdev"": 0.00826079266956349}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,2,True,256,0.9822537203789488,0.015625,"{""mean"": 0.0147705078125, ""n"": 32, ""stdev"": 0.0069558658983927615}","{""mean"": 0.96875, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0501708984375, ""n"": 32, ""stdev"": 0.014781600947982197}","{""mean"": 0.005859375, ""n"": 6, ""stdev"": 0.005407958244087289}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,1,True,1024,0.9999999008188177,0.015625,"{""mean"": 0.01531982421875, ""n"": 32, ""stdev"": 0.003746087099135047}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0498046875, ""n"": 32, ""stdev"": 0.006069239694656276}","{""mean"": 0.024576822916666668, ""n"": 6, ""stdev"": 0.00502452768243266}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D4,2,True,1024,0.9999999008188177,0.015625,"{""mean"": 0.01531982421875, ""n"": 32, ""stdev"": 0.003746087099135047}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0498046875, ""n"": 32, ""stdev"": 0.006069239694656276}","{""mean"": 0.0087890625, ""n"": 6, ""stdev"": 0.006905339660024878}",6,0.015625,24.0,24.0,post_collection_classical_controls,post_collection_classical_controls
D5,1,True,1,0.015625,0.015625,"{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,2,True,1,0.015625,0.015625,"{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.16666666666666666, ""n"": 6, ""stdev"": 0.37267799624996495}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,1,True,4,0.061050355434417725,0.015625,"{""mean"": 0.015625, ""n"": 32, ""stdev"": 0.06051536478449089}","{""mean"": 0.0625, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.0234375, ""n"": 32, ""stdev"": 0.07287014885225637}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,2,True,4,0.061050355434417725,0.015625,"{""mean"": 0.015625, ""n"": 32, ""stdev"": 0.06051536478449089}","{""mean"": 0.0625, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.0234375, ""n"": 32, ""stdev"": 0.07287014885225637}","{""mean"": 0.08333333333333333, ""n"": 6, ""stdev"": 0.11785113019775792}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,1,True,16,0.22273482905658715,0.015625,"{""mean"": 0.017578125, ""n"": 32, ""stdev"": 0.028100575331910467}","{""mean"": 0.28125, ""n"": 32, ""stdev"": 0.4496092053105675}","{""mean"": 0.0390625, ""n"": 32, ""stdev"": 0.04621937330546575}","{""mean"": 0.03125, ""n"": 6, ""stdev"": 0.03125}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,2,True,16,0.22273482905658715,0.015625,"{""mean"": 0.017578125, ""n"": 32, ""stdev"": 0.028100575331910467}","{""mean"": 0.28125, ""n"": 32, ""stdev"": 0.4496092053105675}","{""mean"": 0.0390625, ""n"": 32, ""stdev"": 0.04621937330546575}","{""mean"": 0.09375, ""n"": 6, ""stdev"": 0.06987712429686843}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,1,True,64,0.6350134757560926,0.015625,"{""mean"": 0.01318359375, ""n"": 32, ""stdev"": 0.010415395023291769}","{""mean"": 0.6875, ""n"": 32, ""stdev"": 0.46351240544347894}","{""mean"": 0.05078125, ""n"": 32, ""stdev"": 0.02561499423555469}","{""mean"": 0.0234375, ""n"": 6, ""stdev"": 0.014959798558692783}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,2,True,64,0.6350134757560926,0.015625,"{""mean"": 0.01318359375, ""n"": 32, ""stdev"": 0.010415395023291769}","{""mean"": 0.6875, ""n"": 32, ""stdev"": 0.46351240544347894}","{""mean"": 0.05078125, ""n"": 32, ""stdev"": 0.02561499423555469}","{""mean"": 0.06510416666666667, ""n"": 6, ""stdev"": 0.02456765919806407}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,1,True,256,0.9822537203789488,0.015625,"{""mean"": 0.01708984375, ""n"": 32, ""stdev"": 0.009404961076297961}","{""mean"": 0.9375, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.048583984375, ""n"": 32, ""stdev"": 0.010915570754935624}","{""mean"": 0.029947916666666668, ""n"": 6, ""stdev"": 0.00736569563735987}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,2,True,256,0.9822537203789488,0.015625,"{""mean"": 0.01708984375, ""n"": 32, ""stdev"": 0.009404961076297961}","{""mean"": 0.9375, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.048583984375, ""n"": 32, ""stdev"": 0.010915570754935624}","{""mean"": 0.05078125, ""n"": 6, ""stdev"": 0.013718299157360336}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,1,True,1024,0.9999999008188177,0.015625,"{""mean"": 0.0147705078125, ""n"": 32, ""stdev"": 0.003254954010247408}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0484619140625, ""n"": 32, ""stdev"": 0.008037196885440197}","{""mean"": 0.028645833333333332, ""n"": 6, ""stdev"": 0.008673771220360825}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D5,2,True,1024,0.9999999008188177,0.015625,"{""mean"": 0.0147705078125, ""n"": 32, ""stdev"": 0.003254954010247408}","{""mean"": 1.0, ""n"": 32, ""stdev"": 0.0}","{""mean"": 0.0484619140625, ""n"": 32, ""stdev"": 0.008037196885440197}","{""mean"": 0.05517578125, ""n"": 6, ""stdev"": 0.007787027157490681}",6,0.015625,22.0,23.0,post_collection_classical_controls,post_collection_classical_controls
D6,1,True,1,0.03125,0.03125,"{""mean"": 0.0625, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.0625, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.0, ""n"": 6, ""stdev"": 0.0}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
D6,2,True,1,0.03125,0.03125,"{""mean"": 0.0625, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.0625, ""n"": 32, ""stdev"": 0.24206145913796356}","{""mean"": 0.03125, ""n"": 32, ""stdev"": 0.17399263633843817}","{""mean"": 0.16666666666666666, ""n"": 6, ""stdev"": 0.37267799624996495}",6,0.03125,22.0,22.0,post_collection_classical_controls,post_collection_classical_controls
